广东频道,#genre#
广东珠江,http://61.140.148.82:3333/rtp/239.77.0.114:5146$1920x1080
广东珠江,http://218.18.4.146:8888/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://61.140.148.82:3333/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://218.15.214.115:10000/rtp/239.77.0.1:5146$1920x1080
广东珠江,https://skype.serv00.net/itouch.php?id=gdzj$1920x1080
广东珠江,http://113.109.250.1:9999/rtp/239.77.0.3:5146$720x576
广东珠江,http://61.140.148.82:3333/rtp/239.77.1.94:5146$720x576
广东珠江,http://61.140.148.82:3333/rtp/239.77.0.3:5146$720x576
广东体育,http://61.140.148.82:3333/rtp/239.77.0.168:5146$1920x1080
广东体育,https://skype.serv00.net/itouch.php?id=gdty$1920x1080
广东体育,http://113.109.250.1:9999/rtp/239.77.1.97:5146$720x576
广东新闻,http://14.112.86.108:8008/rtp/239.77.0.173:5146$1920x1080
广东新闻,http://113.109.250.1:9999/rtp/239.77.0.173:5146$1920x1080
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw$1920x1080
广东新闻,http://61.140.148.82:3333/rtp/239.77.0.4:5146$720x576
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8$720x576
广东卫视,http://60.220.167.240:8084/rtp/226.0.1.149:3078$1920x1080
广东卫视,http://114.254.83.238:2222/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://222.71.139.115:8001/rtp/239.45.3.230:5140$1920x1080
广东卫视,http://180.121.98.89:8181/rtp/239.49.8.13:9422$1920x1080
广东卫视,http://222.130.82.155:4022/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://59.172.145.8:10000/rtp/239.254.96.140:8914$1920x1080
广东卫视,http://221.205.61.119:8082/rtp/226.0.1.149:3078$1920x1080
广东卫视,http://111.162.48.28:8888/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://183.185.228.5:8084/rtp/226.0.1.149:3078$1920x1080
广东卫视,http://171.118.121.137:8082/rtp/226.0.1.149:3078$1920x1080
广东卫视,http://115.171.80.17:8888/rtp/225.1.8.49:8048$1920x1080
广东卫视,http://221.205.61.119:8084/rtp/226.0.1.149:3078$1920x1080
广东卫视,http://183.184.60.128:8082/rtp/226.0.1.149:3078$1920x1080
广东卫视,http://118.112.148.228:58888/rtp/239.93.0.181:5140$1920x1080
广东卫视,http://27.11.48.117:8008/rtp/225.0.4.84:7980$1920x1080
大湾区卫视,https://skype.serv00.net/itouch.php?id=nfws$1920x1080
江门侨乡生活,http://113.109.250.1:9999/rtp/239.77.0.202:5146$1920x1080
新会综合,https://skype.serv00.net/itouch.php?id=xhzh$1920x1080
