广东频道,#genre#
广东珠江,https://skype.serv00.net/itouch.php?id=gdzj$1920x1080
广东体育,https://skype.serv00.net/itouch.php?id=gdty$1920x1080
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw$1920x1080
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8$720x576
广东卫视,http://27.11.251.76:8007/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://180.124.225.159:3000/rtp/239.49.8.13:9422$1920x1080
广东卫视,http://125.109.62.72:9999/rtp/233.50.201.102:5140$1920x1080
广东卫视,http://60.164.128.167:8029/rtp/239.255.30.134:8231$1920x1080
广东卫视,http://125.109.62.72:9999/rtp/233.50.201.56:5140$720x576
广东卫视,http://117.32.85.85:8011/rtp/239.109.205.38:8232$720x576
广东卫视,http://115.210.135.74:9999/rtp/233.50.201.56:5140$720x576
广东卫视,http://125.109.62.72:9999/rtp/233.50.200.61:5140$720x576
广东卫视,http://115.210.135.74:9999/rtp/233.50.200.61:5140$720x576
广东卫视,http://183.141.216.56:9999/rtp/233.50.200.61:5140$720x576
广东卫视,http://14.106.80.177:6789/rtp/235.254.198.37:1424$720x576
广东卫视,http://183.141.216.56:9999/rtp/233.50.201.56:5140$720x576
广东卫视,http://117.32.85.85:8020/rtp/239.109.205.38:8232$720x576
广东卫视,http://117.32.85.85:8025/rtp/239.112.205.33:5140$720x576
广东卫视,http://111.175.166.209:8686/rtp/239.254.96.22:8106$720x576
大湾区卫视,https://skype.serv00.net/itouch.php?id=nfws$1920x1080
新会综合,https://skype.serv00.net/itouch.php?id=xhzh$1920x1080
鹤山综合,https://skype.serv00.net/itouch.php?id=hszh$1920x1080
深圳卫视,http://60.164.128.167:8029/rtp/239.255.30.135:8231$1920x1080
深圳卫视,http://60.178.149.113:4022/rtp/233.50.201.45:5140$720x576
深圳卫视,http://119.98.99.124:5555/rtp/239.254.96.34:8178$720x576
深圳卫视,http://125.84.50.39:10000/rtp/235.254.198.31:1400$720x576
深圳卫视,http://119.98.133.138:4000/rtp/239.254.96.34:8178$720x576
深圳卫视,http://183.141.216.56:9999/rtp/233.50.201.45:5140$720x576
深圳卫视,http://113.120.46.90:8123/rtp/239.21.1.25:5002$720x576
深圳卫视,http://125.109.62.72:9999/rtp/233.50.201.45:5140$720x576
深圳卫视,http://115.60.241.249:2000/rtp/225.1.4.23:1052$720x576
深圳卫视,http://60.187.221.249:4022/rtp/233.50.201.45:5140$720x576
深圳卫视,http://59.174.96.54:8880/rtp/239.254.96.34:8178$720x576
深圳卫视,http://111.175.166.209:8686/rtp/239.254.96.34:8178$720x576
深圳卫视,http://14.106.80.177:6789/rtp/235.254.198.31:1400$720x576
深圳卫视,http://119.98.133.99:4022/rtp/239.254.96.34:8178$720x576
深圳卫视,http://119.98.37.126:8888/rtp/239.254.96.34:8178$720x576
央视频道,#genre#
CCTV-1,http://117.32.85.85:8025/rtp/239.112.205.231:5140$1920x1080
CCTV-1,http://117.32.85.85:8020/rtp/239.112.205.231:5140$1920x1080
CCTV-1,http://117.32.85.85:8012/rtp/239.112.205.231:5140$1920x1080
CCTV-1,http://enlen.vip:4022/rtp/239.200.200.70:8008$1920x1080
CCTV-1,http://123.145.57.77:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://106.42.108.222:2010/rtp/239.16.10.1:2000$1920x1080
CCTV-1,http://106.42.108.222:2000/rtp/239.16.10.1:2000$1920x1080
CCTV-1,http://171.116.157.183:8005/rtp/226.0.1.157:3086$1920x1080
CCTV-1,http://123.145.57.77:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://118.81.90.68:8083/rtp/226.0.1.157:3086$1920x1080
CCTV-1,http://101.81.119.90:8888/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://117.133.95.242:8887/rtp/228.1.1.28:8008$1920x1080
CCTV-1,http://61.55.13.136:4000/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://115.210.135.74:9999/rtp/233.50.200.192:5140$1920x1080
CCTV-1,http://27.10.213.70:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-2,http://61.240.38.128:8083/rtp/226.0.1.158:3087$1920x1080
CCTV-2,http://60.26.2.242:7000/rtp/225.1.1.133:5002$1920x1080
CCTV-2,http://60.178.149.113:4022/rtp/233.50.201.119:5140$1920x1080
CCTV-2,http://117.133.95.242:8887/rtp/228.1.1.24:8084$1920x1080
CCTV-2,http://123.144.179.117:55555/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://xeace.cn:8888/rtp/239.93.1.23:6000$1920x1080
CCTV-2,http://125.84.50.39:10000/rtp/235.254.198.52:1484$1920x1080
CCTV-2,http://171.116.226.246:8082/rtp/226.0.1.158:3087$1920x1080
CCTV-2,http://27.10.213.70:8002/rtp/225.0.4.132:7980$1920x1080
CCTV-2,http://61.240.38.128:8082/rtp/226.0.1.158:3087$1920x1080
CCTV-2,http://171.116.226.246:8083/rtp/226.0.1.158:3087$1920x1080
CCTV-2,http://60.178.149.113:4022/rtp/233.50.200.25:5140$1920x1080
CCTV-2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$1920x1080
CCTV-2,http://171.213.133.12:8889/rtp/239.93.1.23:6000$1920x1080
CCTV-2,http://171.117.183.38:8082/rtp/226.0.1.158:3087$1920x1080
CCTV-3,http://61.55.46.35:4022/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://61.240.37.36:8083/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://171.116.226.246:8082/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://171.116.226.246:8083/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://60.164.128.167:8029/rtp/239.255.29.12:8231$1920x1080
CCTV-3,http://61.240.38.128:8083/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://117.32.85.85:8025/rtp/239.109.205.79:8568$1920x1080
CCTV-3,http://117.32.85.85:8012/rtp/239.112.205.221:5140$1920x1080
CCTV-3,http://61.240.38.128:8082/rtp/226.0.1.141:2018$1920x1080
CCTV-3,http://61.55.13.136:4000/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://117.32.85.4:8025/rtp/239.109.205.79:8568$1920x1080
CCTV-3,http://117.32.85.85:8025/rtp/239.112.205.221:5140$1920x1080
CCTV-3,http://117.32.85.85:8020/rtp/239.112.205.221:5140$1920x1080
CCTV-3,http://27.11.250.143:8004/rtp/225.0.4.142:7980$1920x1080
